Evaporation,Sunshine,WindSpeed,Humidity,Pressure,Cloud,Temp,Rain
3.4,6.3,6,29,1015,7,14.4,Yes
4.4,9.7,4,36,1008.4,5,17.5,Yes
5.8,3.3,6,69,1007.2,8,15.4,Yes
7.2,9.1,30,56,1007,2,13.5,Yes
5.6,10.6,20,49,1018.5,7,11.1,No
5.8,8.2,20,57,1021.7,7,10.9,No
4.2,8.4,19,47,1022.2,4,12.4,No
5.6,4.6,11,57,1024.2,6,12.1,No
4,4.1,19,48,1022.7,7,14.1,Yes
5.4,7.7,7,32,1020.7,7,13.3,No
4.2,11.9,6,34,1021.1,1,14.6,No
7.2,12.5,2,35,1019.9,0,16.8,No
7.2,13,6,29,1017.1,0,17,No
6.2,12.4,7,20,1013.1,1,19.7,No
8.8,13.1,6,16,1013.7,0,18.7,No
8.4,11.1,7,22,1012.8,0,19.1,No
7.2,8.4,6,23,1009.8,7,20.2,Yes
7.2,10.1,6,26,1013,1,20.1,No
7.4,13,4,25,1013.3,1,20.2,No
8,10.4,2,27,1013.7,0,22.8,No
8.8,9.5,2,26,1006.5,1,22.2,No
9.2,0,6,72,1008.9,8,16.5,Yes
2.8,0.6,13,79,1014.9,8,14,No
1.2,7.5,6,57,1019.2,7,17.8,No
4.4,8.1,9,31,1018.6,8,16.8,No
6.8,8.9,6,48,1016.5,2,19.8,No
6.6,2.3,20,55,1018.6,7,16.5,No
4.4,10.7,6,31,1014.8,5,18.8,No
7,0.4,7,80,1017.1,7,18.9,No
2.6,0.5,6,49,1013.3,8,17.3,Yes
2.4,0.2,6,90,1014.1,8,17,Yes
1.6,12,6,46,1009.5,2,16.7,No
6.6,4.7,13,60,1004.6,7,20.5,Yes
3.8,11.8,20,40,1006.3,5,18.8,No
8.4,9.8,11,63,1015.3,7,18.6,No
6,6.3,13,54,1016.1,8,18.6,No
4.2,8.8,6,74,1011.5,6,21.5,Yes
4.2,8.8,7,42,1011.4,8,18,No
6.6,11.1,9,24,1008.5,7,20.6,No
10.4,10,11,37,1010.4,7,19.3,No
4.8,2.3,9,63,1017.4,8,13.8,No
4.2,7.3,15,51,1019.6,7,15.7,No
5,3.6,22,49,1019.3,7,15.8,No
4.4,12.7,6,37,1012.5,1,15.8,No
6.8,8.8,2,36,1010.2,1,17.4,Yes
6.4,0.9,6,86,1008.6,8,16.6,Yes
2.8,10.6,13,40,1016.8,1,15.3,No
6.6,8.7,13,43,1018.3,6,15.3,No
6.4,0.8,7,54,1015.6,8,16.1,Yes
1.6,2.3,4,74,1014.1,8,15.3,Yes
1.8,8.1,6,48,1008.3,2,21,Yes
4.4,5.9,41,62,996.8,8,20.6,Yes
7.8,10.2,9,49,1009.1,1,14.9,No
6.2,12.1,7,43,1009.7,6,15,Yes
8.2,5.6,11,52,1019.1,8,12.4,No
5.2,13,6,35,1018,1,15.3,No
7.2,7.1,7,64,1014.3,7,19.8,Yes
8.8,13.2,6,44,1013.4,1,18.3,No
6.6,13.6,6,30,1014.2,0,21.5,No
9.6,13,6,18,1015,1,23.4,No
11.4,13.6,7,20,1015.6,0,21.9,No
8.8,12.8,2,20,1011.6,7,21.9,No
7.6,10.5,2,14,1008.7,0,23,No
12.6,2.2,20,55,1016.3,8,19.2,No
6.2,12.5,24,45,1013,6,20.3,No
7.4,11.7,7,40,1007.4,7,18.6,No
6.6,10.5,6,34,1003.3,1,18.9,No
9,12.6,11,36,1009.5,1,20.8,No
10,8.1,7,44,1013.4,7,18.1,No
6.6,8.8,13,45,1015.9,8,19.3,No
6.6,12.8,6,25,1013.3,1,21.3,No
9.4,13.3,6,24,1006.5,0,24.7,No
13.8,6.9,4,28,1003,7,23.6,Yes
9,13.5,6,35,1001.8,2,23,No
12.4,6,13,57,1012.3,8,17,No
5.2,11.1,7,26,1009,7,18,No
10.4,8.4,15,62,1006.1,6,24.5,Yes
6.4,11.6,20,42,1015,1,17.1,No
9.6,0.1,17,55,1015.8,8,17.8,Yes
5,0,9,88,1006,8,18,Yes
1.4,8.1,19,71,1004,7,19.4,No
5.6,1.6,17,58,1012.1,8,17.4,No
4.4,11.6,11,46,1016.8,1,14.7,No
5.8,10.8,7,38,1019.2,1,16.2,No
6.4,9.9,6,29,1018.1,3,17,No
6.8,8.2,9,32,1016.9,7,17.6,No
7.4,9,4,28,1012.4,1,18.3,No
6.6,11.6,4,28,1009.5,1,19.7,No
9.4,13.2,4,18,1012,0,22.4,No
10.4,11.8,6,22,1014.6,1,19.8,No
9.2,9.9,6,29,1013.7,1,22.2,Yes
10.2,3.6,13,49,1012.8,7,21.4,Yes
5.4,6.2,11,49,1017.1,8,16.5,No
5.8,8.1,7,44,1014.5,7,19.1,No
5.8,9.2,9,38,1012.8,6,21.7,Yes
8,0,7,76,1011.5,8,18.5,Yes
2.8,0.3,7,71,1007.8,8,18.4,No
2.8,8,6,41,997.5,4,18.7,No
6.8,5.9,11,76,998.9,7,17.9,Yes
5.4,5.6,7,58,1005,7,13.6,No
4,8.9,15,51,1006.8,6,13.8,No
5.8,9.6,17,37,1011.4,1,14,No
5,10.7,7,34,1011.7,1,14.6,Yes
6.6,5.9,9,60,1006.8,8,15.8,Yes
3.2,0.4,13,73,1011,7,16.3,No
2.8,12.7,11,37,1015.1,1,13.7,No
5.6,12.6,7,32,1016.7,1,15,No
7.2,12.6,7,40,1020,1,15.3,No
7.4,10.2,9,46,1021.4,7,15.4,No
6.8,11.7,7,42,1017.4,5,17.2,No
5.6,12.1,6,38,1012.8,1,16.9,No
7.2,8.2,2,31,1009.1,2,17.4,Yes
7.8,3.8,4,56,1008.4,7,17.5,Yes
3.2,8.6,NA,42,1002.3,5,16.5,No
7.8,12.4,20,32,1005.4,1,15.7,No
10.4,12.4,15,34,1007.2,0,15.1,No
5.2,10.2,9,35,1014.3,6,15.8,No
5,11.6,4,27,1014.4,3,17.4,No
7.8,8.1,NA,25,1009.1,2,17.6,No
7.6,0.8,13,78,1009.9,7,15.7,Yes
5.2,12,24,34,1014.5,5,10.6,No
6.2,12.1,15,31,1019.3,1,11.7,No
6.2,11.6,7,37,1023.2,0,12.2,No
5.6,10.1,6,28,1020.4,1,13.8,No
6,7.3,6,28,1018.2,1,15.6,No
6,11,7,35,1022.2,1,15.7,No
6,11.3,6,24,1019.3,2,17.4,No
8.4,7.5,NA,34,1017.7,0,17.5,Yes
4.8,11.5,6,39,1020.7,1,14,No
5,11.5,7,33,1023.1,0,17.8,No
6.6,11.2,6,28,1020.4,1,17.2,No
6.4,8.5,11,18,1019.3,0,20.2,No
7.8,11,6,23,1017.6,2,17.5,No
8.6,9.7,7,18,1017.7,7,16.1,No
7.2,11.3,9,15,1019.1,0,17.9,No
6.4,11.2,7,15,1019.3,5,21.4,No
9.4,11.4,4,17,1020.7,5,18.2,No
7.8,11.2,9,22,1020.6,1,17.7,No
5.8,10.7,0,30,1018.8,0,16.8,No
9,9.8,4,48,1018.7,1,19.7,No
5.2,8,0,35,1009.4,7,17.1,No
8.2,0,9,62,1019.3,7,13.3,No
2.8,1.6,6,64,1021.8,7,14,No
2.4,6.2,6,44,1019.3,7,15.5,No
4.8,1.9,6,68,1015.4,8,17.1,Yes
2.8,0,11,93,1006.5,8,16.4,Yes
2.6,9.1,17,50,1008.4,5,15.1,No
4.6,9.6,7,36,1012.6,1,8.4,No
3.6,11,7,35,1015,1,9.2,No
3.4,10,9,30,1011.3,6,8.8,No
6.4,10.8,6,34,1009.3,3,11.2,No
6.4,10,19,42,1013,2,13.1,No
6,10.3,7,34,1021.2,0,8.7,No
3.6,5.6,2,26,1010.5,1,9.5,Yes
9.6,9.7,26,40,1012.7,1,9.1,No
4.8,9.6,6,33,1019.1,0,5.2,No
3.2,10.6,7,27,1022.3,0,8.2,No
2.8,9.3,7,35,1024.1,1,12.9,No
3.8,7.8,11,48,1024,1,14.9,No
4.2,4.1,15,45,1025.4,5,13.8,No
2.8,6.8,9,49,1021.8,6,14.3,No
2.2,9.5,4,28,1019.2,1,14,No
3.4,10.2,2,29,1016.9,0,12.7,No
4.6,6.1,6,32,1015.8,7,11.5,Yes
3.2,7.7,13,56,1013.8,5,10.7,Yes
3.8,9.3,9,40,1019.6,1,12.4,No
3.2,10.8,7,36,1023.9,1,12.3,No
3.4,10.6,9,39,1024.4,1,12.6,No
4.6,6.3,7,44,1023.3,7,12,No
3.2,8.3,17,43,1024.1,3,14,No
3,4.9,13,51,1027.4,6,13.6,No
4.4,7.1,11,65,1024.2,4,13.5,No
2.8,10.1,9,34,1021,1,10.6,No
3.8,8,13,49,1023.5,7,12.5,No
4,6.8,0,43,1022.2,6,12.6,No
2,7.9,7,55,1019.8,4,9.2,No
2,8.9,0,42,1014.3,7,10.1,No
2.8,6.5,2,34,1006.7,7,7.9,No
5.8,5.8,26,51,997.7,6,14.4,Yes
4.4,5.6,26,60,1008.1,3,7.1,No
1.8,9.5,0,40,1019.6,0,6.3,No
1.4,7,2,40,1020.5,1,5.3,No
2.8,0.8,6,54,1018.5,7,10.5,No
1.6,9.2,6,38,1017.3,1,8.7,No
4,9.4,6,42,1017.4,1,7.4,No
2.4,9.3,2,42,1018.5,5,6.2,No
3.4,8.3,2,41,1015.8,6,7.7,No
2.8,3,7,53,1013.8,7,12.5,No
3.4,9.4,17,43,1013.5,1,12.4,No
4.4,9.4,0,44,1018.9,1,6.7,No
2.2,9.2,2,36,1020.3,0,7.6,No
2.4,9.3,2,41,1020,1,8.4,No
2,1.6,6,52,1021.5,7,13.5,No
2.2,7.7,4,47,1020.3,7,12.1,No
2.2,9.4,7,34,1021.4,1,7.9,No
2,9.2,NA,44,1021,1,8.5,No
2.4,8.7,2,40,1018.7,1,6.8,Yes
3,4.3,9,69,1013.7,7,10,No
1.8,1.7,30,78,1005.9,7,11.3,No
1.6,8.8,13,53,1008.3,6,7.9,No
2.2,9.3,0,36,1014.3,1,3.5,No
2.2,5.6,6,52,1018.6,8,3.8,No
2.6,7.3,2,47,1022.9,6,8,No
2.6,9.2,7,43,1026,1,5.9,No
2.4,6.7,11,49,1024.8,7,5.3,No
1.2,8.9,6,43,1023.5,0,6.5,No
1.6,8.4,6,48,1021.8,1,6.2,Yes
2,5.1,6,50,1023.1,7,7,Yes
1.2,8.5,0,55,1022.3,1,8.9,No
1.6,8.2,0,50,1024.7,1,6.2,No
1.2,8.5,7,45,1029.6,2,5.5,No
2,8.6,2,46,1028.7,1,5.6,No
2.2,8.9,0,38,1027.4,2,4.7,No
2.2,2.7,NA,67,1028.9,7,4.6,No
1,0.6,6,67,1027.1,7,9.9,No
0.6,0,9,86,1027.2,8,12.1,Yes
0.2,2.6,9,65,1025.7,8,11.5,No
2.2,2.7,6,65,1023.4,6,10.3,No
1.6,9,11,42,1022.1,1,9.6,No
1.4,9,4,42,1027,1,4.9,No
2,3,6,70,1031.7,7,7.9,No
1.2,NA,6,65,1027.9,7,12.1,Yes
2.2,0,2,94,1024.3,8,10.3,Yes
0.2,0.5,22,65,1022.1,7,12.9,No
1.2,8.5,15,48,1019.7,1,11.2,No
3.2,7.1,19,58,1014.1,4,8.8,No
2.2,7.2,7,49,1025.6,4,6.5,No
2.6,8.2,24,57,1026.3,1,9,No
2.6,5.9,17,51,1024.8,7,9.5,No
1.6,5.8,7,58,1025.5,7,9.4,No
1,4.7,6,70,1023.5,5,4,No
0.6,2,6,63,1019.7,8,8.4,Yes
0.6,0,6,86,1019.2,8,9.7,No
0.8,7.7,6,59,1021,3,4.2,No
1.4,7.6,9,44,1025.7,5,8.8,No
2,6.8,7,53,1022.1,7,5.5,No
1.4,4.1,2,69,1024.2,8,4.3,No
2,9,0,54,1021.9,3,7.8,No
2.6,6.5,20,48,1020.4,6,7,No
3.4,8.9,7,51,1025,1,6.7,No
2.2,8,6,41,1026,4,2.1,No
1.4,6.1,6,38,1020.9,7,6.5,No
2.4,6.4,22,68,1010.2,1,9.7,Yes
3.6,5.6,33,56,1012.3,3,6.9,No
2.8,8.2,31,53,1014,5,10.6,No
2.8,8.9,7,53,1021.9,1,3,No
1.8,3.9,4,52,1030,1,5.9,No
1.4,7,NA,55,1028.9,1,4.7,No
1.2,7.1,2,59,1026.3,5,3.7,No
1.4,0.2,0,96,1021.1,7,6.3,Yes
1.4,6.5,0,72,1019.6,6,5.5,No
0.8,2.8,9,68,1016.8,7,1.8,No
1.8,1.2,31,85,1010.5,7,6,Yes
1.4,7.7,20,66,1018.2,7,5.5,No
1.4,6.5,2,54,1022.7,1,0.8,No
